cst_dim_id;monthly_os_changes;monthly_phone_model_changes;logins_last_7_days;logins_last_30_days;login_frequency_7d;login_frequency_30d;freq_change_7d_vs_mean;logins_7d_over_30d_ratio;avg_login_interval_30d;std_login_interval_30d;var_login_interval_30d;ewm_login_interval_7d;burstiness_login_interval;fano_factor_login_interval;zscore_avg_login_interval_7d
453024373.0;2;2;6;20;0.8571428571428571;0.6666666666666666;0.2857142857142857;0.3;131460.0;213919.47830901237;45761543200;23007.164409515124;0.2387503702094179;348102.41290126275;-0.2210738375665139
498636442.0;1;1;2;22;0.2857142857142857;0.7333333333333333;-0.6103896103896104;0.0909090909090909;101520.0;82733.72644157334;6844869490.909091;178980.0;-0.101958717043282;67423.85235332044;0.936256631141864
2934905461.0;1;1;2;2;0.2857142857142857;0.06666666666666667;3.2857142857142856;1.0;67800.0;-1.0;-1.0;67800.0;-1.0;-1.0;-1.0
456173125.0;1;2;5;37;0.7142857142857143;1.2333333333333334;-0.42084942084942084;0.1351351351351351;61394.59459459459;76777.32139819076;5894757081.081081;9400.733944954129;0.1113303430228135;96014.26835710512;-0.5087386989189104
2933725046.0;1;1;37;119;5.285714285714286;3.966666666666667;0.33253301320528206;0.3109243697478991;22751.5;33089.10167762088;1094888649.8319328;18828.50448742834;0.1851269751229034;48123.8006211429;-0.2316926000195731
452718092.0;4;2;29;109;4.142857142857143;3.6333333333333333;0.14023591087811282;0.2660550458715596;21516.992481203008;30261.84701609769;915779384.8257006;14783.05447016053;0.1688885772604186;42560.75218810039;-0.1021274051160994
454061799.0;1;2;4;21;0.5714285714285714;0.7;-0.18367346938775508;0.1904761904761904;102855.0;160307.32049804574;25698437005.263157;278211.3669064748;0.2183151462918962;249851.1205606257;0.1774404307403214
465356982.0;1;1;0;24;0.0;0.8;-1.0;0.0;63817.77777777778;118064.0891580414;13939129148.717949;-1.0;0.298250245030779;218420.7854628831;-1.0
2938000220.0;2;3;14;36;2.0;01.фев;0.6666666666666667;0.3888888888888889;77395.13513513513;80874.18547148204;6540633875.675675;110727.7646075592;0.021981836549322;84509.62536928782;-0.4601989107060125
499704441.0;1;2;28;67;4.0;2.2333333333333334;0.7910447761194029;0.417910447761194;39637.2972972973;87633.35658934835;7679605187.115883;7374.28762644666;0.3771180380262602;193746.9431761565;-0.2877844750110245
